Company Name,Classification,Country
Oncoheroes Biosciences,Healthcare Analytics,United States
CODA Biotherapeutics,Genomics/Gene Therapy,United States
Opentrons labworks. Inc,Digital Health,United States
EQRx,BioSystems,United States
"Revolution Medicines, Inc",Rare disease,United States
GRO Biosciences,Genomics/Gene Therapy,United States
MoA Technology,Agri-Biotech,United Kingdom
TreeFrog Therapeutics,Stem Cell,France
C16 Biosciences,BioSystems,United States
Scipher Medicine,Digital Health,United States
Arima Genomics,Genomics/Gene Therapy,United States
Athira Pharma,Digital Health,United States
Siris Medical,Digital Health,United States
MedAware Ltd,Digital Health,Israel
"BioAge Labs, Inc.",TeleMedicine,United States
CloudMedx Inc.,Digital Health,United States
Element AI Inc.,Digital Health,Canada
Synaptive Medical Inc.,Digital Health,Canada
Kira Biotech,Medical Diagnostics,Australia
Rosa Biotech,Bioinformatics,United Kingdom
ImmunOS Therapeutics,Medical Diagnostics,Switzerland
TILT Biotherapeutics,Medical Diagnostics,Finland
Perlstein Lab,Medical Diagnostics,United States
Envisagenics,BioSystems,United States
BioDigital,BioSystems,United States
Ultromics,Healthcare Analytics,United Kingdom
Pyxis Oncology,BioSystems,United States
Epigene Labs,BioSystems,France
Lumiata,Healthcare Analytics,United States
AiCure,Digital Health,United States
K Health,Healthcare Analytics,United States
Notable Labs,Healthcare Analytics,United States
Owkin,Healthcare Analytics,France
LabGenius,BioSystems,United Kingdom
Insilico Medicine,Healthcare Analytics,Hong Kong
Brainomix,Medical Devices,United Kingdom
Strand Life Sciences,Bioinformatics,India
Chinook Therapeutics Inc,Rare Disease,Canada
Vitaeris Inc,Healthcare Analytics,Canada
Flosonics Medical,Medical Devices,Canada
Ervaxx,Genomics/Gene Therapy,United Kingdom
Venatorx Pharmaceuticals,Medical Devices,United States
SkinVision,Digital Health,Netherlands
Proscia,Digital Health,United States
MaxQ AI,Digital Health,United States
Cyclica,Bioinformatics,Canada
Quantib,Digital Health,Netherlands
Ucare AI,Digital Health,Singapore
Xbird,Digital Health,Germany
Winterlight Labs,Digital Health,Canada
Infermedica,Digital Health,Poland
Doxper,Digital Health,India
SemaThera Inc.,Healthcare Analytics,Canada
Shield Bio,Healthcare Analytics,United States
Repositive,Healthcare Analytics,United Kingdom
NGX Bio,Healthcare Analytics,United States
Biotia,Healthcare Analytics,United States
mfine,Early Stage Biotech,India
Caspar Health,Digital Health,Germany
TARA Biosystems,BioSystems,United States
ABL Bio,BioSystems,"Korea, Republic of"
"C4 Therapeutics, Inc.",Healthcare Analytics,United States
Celsius Therapeutics,Healthcare Analytics,United States
Civetta Therapeutics,Early Stage Biotech,United States
Vensica Medical,Medical Devices,Israel
"AtaCor Medical, Inc.",Medical Devices,United States
Inscripta Inc,Genomics/Gene Therapy,United States
SeqWell,Genomics/Gene Therapy,United States
Gencove,Genomics/Gene Therapy,United States
Immunitas Therapeutics,Genomics/Gene Therapy,United States
"Shape Therapeutics, Inc.",Genomics/Gene Therapy,United States
Oncorus,Rare disease,United States
Cygnal Therapeutics,Rare disease,United States
Vividion Therapeutics. Inc.,Telemedicine,United States
Gossamer Bio,Rare disease,United States
Dyne Therapeutics,Rare disease,United States
Niramai Health Analytix,Healthcare Analytics,India
ArtiQ,Medical Devices,Belgium
Fabric Genomics,Digital Health,United States
20/20 GeneSystems,Digital Health,United States
Cambridge Epigenetix,Medical Diagnostics,United Kingdom
Genoox,Genomics/Gene Therapy,United States
PierianDx,Genomics/Gene Therapy,India
Emedgene,Genomics/Gene Therapy,Israel
Nebula Genomics,Genomics/Gene Therapy,United States
Lifebit,Bioinformatics,United Kingdom
Thrive Earlier Detection,Early stage biotech,United States
Qpex Biopharma,Bioinformatics,United States
Antios Therapeutics,Rare disease,United States
Cohero Health,Healthcare Analytics,United States
"Insight Rx, Inc",Digital Health,United States
VoxelCloud Inc.,Digital Health,United States
Mendel AI,Digital Health,United States
Genomic Prediction,Genomics/Gene Therapy,United States
Intelliseq,Genomics/Gene Therapy,Poland
Dante Labs,Genomics/Gene Therapy,United States
Genenta Science,Genomics/Gene Therapy,Italy
Genechron,Genomics/Gene Therapy,Italy
Maze Therapeutics,Genomics/Gene Therapy,United States
HiberCell,Medical Diagnostics,United States
Twentyeight-Seven Therapeutics (28-7),Genomics/Gene Therapy,United States
Verve Therapeutics,Medical Diagnostics,United States
Kronos Bio,Medical Diagnostics,United States
CuraSen,Medical Diagnostics,United States
Gotham Therapeutics,Medical Diagnostics,United States
Clarify Health Solutions,Healthcare Analytics,United States
Idx,Medical Diagnostics,United States
Biofourmis,Healthcare Analytics,Singapore
Aidoc,Healthcare Analytics,Israel
Deep Genomics,BioSystems,Canada
Virogin Biotech,Healthcare Analytics,Canada
Biohope,Medical Diagnostics,Spain
Bluedrop Medical,Medical Devices,Ireland
Araris Biotech,Medical Diagnostics,Switzerland
PolyProx Therapeutics Ltd,Medical Diagnostics,United Kingdom
CysBio,Bioinformatics,Denmark
CellmAbs,Medical Diagnostics,Portugal
Nagi Bioscience,Bioinformatics,Switzerland
Mantle Biotech,Medical Diagnostics,United States
ViewPoint Therapeutics,Bioinformatics,United States
Aegle Therapeutics,Stem Cell,United States
Codiak BioSciences,Rare Disease,United States
Vaxess Technologies,Healthcare Analytics,United States
Scenic Biotech,Medical Diagnostics,Netherlands
Generation Bio,BioSystems,United States
Mammoth Biosciences,BioSystems,United States
"NPlex Bioscience, Inc",Nanotechnology,Canada
Tambua Health,Medical Devices,United States
RX.Health,Digital Health,United States
Zbiotics,Nutraceuticals,United States
Theranica Bio-Electronics Ltd,Medical Devices,United States
Syqe Medical,Medical Devices,Israel
Pivot Bio,Agri-Biotech,United States
SmartZyme Biopharma,BioSystems,Israel
kariusdx,Healthcare Analytics,United States
Caribou Biosciences,BioSystems,United States
Lygos,BioSystems,United States
Transcriptic,Medical Devices,United States
Ambys Medicines,Healthcare Analytics,United States
Repertoire Immune Medicines,Telemedicine,United States
Eligo Bioscience,Healthcare Analytics,France
Elsa Science,Healthcare Analytics,Sweden
Casma Therapeutics,Early Stage Biotech,United States
Rheos Medicines,Healthcare Analytics,United States
Cedilla Therapeutics,Healthcare Analytics,United States
"Bolt Biotherapeutics, Inc.",Healthcare Analytics,United States
Triplet Therapeutics,Early Stage Biotech,United States
CAMP4 Therapeutics,Early Stage Biotech,United States
Acousia Therapeutics GmbH,Healthcare Analytics,Germany
"Alpine Immune Sciences, Inc.",Genomics/Gene Therapy,United States
Kaleido Biosciences,Genomics/Gene Therapy,United States
Clevergene,Bioinformatics,India
ILYA Pharma,Healthcare Analytics,Sweden
Ranomics,Genomics/Gene Therapy,Canada
Serenity Bioworks,Genomics/Gene Therapy,Canada
Fortuna Fix Inc,Digital Health,Canada
DalCor Pharmaceuticals,Digital Health,Canada
Inversago Pharma,Digital Health,Canada
PreciThera Inc,Rare Disease,Canada
SideKickHealth,Digital Health,United States
Igentify,Digital Health,Israel
"Hengrui Therapeutics, Inc.",Medical Diagnostics,United States
Veritas Genetics,Genomics/Gene Therapy,United States
Novome Biotechnologies,Genomics/Gene Therapy,United States
Boost Biomes,Healthcare Analytics,United States
Xcell Biosciences,Healthcare Analytics,United States
Allevi,BioSystems,United States
Bigfoot Biomedical,Healthcare Analytics,United States
AOBiome,BioSystems,United States
Muxima Bio,Nutraceuticals,Portugal
RoosterBio,BioSystems,United States
Cellanyx,Healthcare Analytics,United States
Mindshare Medical,Healthcare Analytics,United States
Unima,Medical Diagnostics,Mexico
Jade Diabetes,Healthcare Analytics,Australia
CPH Biotech,Healthcare Analytics,Canada
Tailored Genes,Healthcare Analytics,Canada
Pathogenomix,BioSystems,United States
BillionToOne,Medical Diagnostics,United States
BelCosta Labs,Agri-Biotech,United States
Cannalysis,Medical Diagnostics,United States
Telocyte,BioSystems,United States
"Ichor Therapeutics, Inc.",BioSystems,United States
"ARTham Therapeutics, Inc",BioSystems,Japan
Vascular Genesis,Medical Devices,United States
OpenMed,Healthcare Analytics,United States
Ligandal,Healthcare Analytics,United States
Neural Analytics,Healthcare Analytics,United States
Leapcure,BioSystems,United States
Respirix,Medical Devices,United States
Lumere,Healthcare Analytics,United States
HistoWiz,Healthcare Analytics,United States
One Codex,Medical Diagnostics,United States
Prospect Bio,Bioinformatics,United States
Atomwise,Healthcare Analytics,United States
indee labs,Stem Cell,United States
Common Sensing,Healthcare Analytics,United States
Zenflow,Healthcare Analytics,United States
Elysium Health,Healthcare Analytics,United States
sRNAlytics,Healthcare Analytics,United States
FitBiomics,BioSystems,United States
StemExcell,BioSystems,United States
Epitoire Bioscience,BioSystems,United States
Galileo,Healthcare Analytics,United States
Meves Pharmaceuticals,Rare Disease,United States
Turnstone Biologics,BioSystems,United States
LipoCoat,Medical Devices,Netherlands
Aurum Biosciences,Medical Diagnostics,United Kingdom
Atturos,Medical Diagnostics,Ireland
Qlaris Bio,Medical Diagnostics,United States
TissueLabs,Medical Diagnostics,Brazil
ExoCoBio,Stem Cell,"Korea, Republic of"
Carmine Therapeutics,Healthcare Analytics,Singapore
Adipomics,Healthcare Analytics,United States
Droplite,Medical Diagnostics,Spain
Sonoma Biotherapeutics,Bioinformatics,United States
TScan Therapeutics,BioSystems,United States
ZebiAI Therapeutics,Medical Diagnostics,United States
"StratifiCare, Inc.",Medical Diagnostics,Singapore
AAVogen,Medical Diagnostics,United States
Novaremed AG,BioSystems,Switzerland
In Diagnostics,BioSystems,United States
Synapsica Healthcare,Medical Imaging,India
Abalone Bio,Rare Disease,United States
Genecis Bioindustries Inc,Agri-Biotech,Canada
Ochre Bio,Genomics/Gene Therapy,United Kingdom
delt.ai,Digital Health,Mexico
Caelum Bioscience,BioSystems,United States
kangaroohealth,Healthcare Analytics,United States
PetBioCell,Healthcare Analytics,Germany
Brightseedbio,Healthcare Analytics,United States
Immunovant,Healthcare Analytics,United States
zPREDICTA,BioSystems,United States
BioMed X,Medical Diagnostics,Germany
Carbiotix,Healthcare Analytics,Sweden
Genevant Sciences,BioSystems,United States
Alma Bio Therapeutics SAS,Medical Diagnostics,France
iCell Gene Therapeutics Inc.,Healthcare Analytics,United States
Lyell Immunopharma,Genomics/Gene Therapy,United States
TRex Bio,Genomics/Gene Therapy,United States
DNA Xperts Pvt Ltd,Medical Devices,India
Redcliffe Lifesciences Pvt.Ltd.,Healthcare Analytics,India
4basecare Genomics Private Limited,Healthcare Analytics,India
Astrego Diagnostics AB,Medical Devices,Sweden
Testa Center,BioSystems,Sweden
Molbiogen,Medical Diagnostics,India
Converge Biotech,Healthcare Analytics,India
Phenomic AI,Digital Health,Canada
ExCellThera Inc,BioSystems,Canada
Jenthera Therapeutics,BioSystems,Canada
MyX Therapeutics,Digital Health,Canada
Searchlight Pharma,Digital Health,Canada
Juvena Therapeutics,Medical Diagnostics,United States
Revel Pharmaceuticals,Early Stage Biotech,United States
Expain,Medical Diagnostics,United States
Minovia Therapeutics,Rare Disease,Israel
DreaMed Diabetes,Medical Diagnostics,Israel
Nanomedic Technologies Ltd,Medical Devices,Israel
ImmunAI,BioSystems,Israel
ROSALIND by OnRamp BioInformatics,Genomics/Gene Therapy,United States
Adaptate Biotherapeutics,Healthcare Analytics,United Kingdom
iMicrobes,BioSystems,United States
Maverix Biomics,BioSystems,United States
Sensulin,Healthcare Analytics,United States
Contraline,BioSystems,United States
Athelas,Healthcare Analytics,United States
Geltor,Healthcare Analytics,United States
Hyasynth Bio,Healthcare Analytics,Canada
Correlia Biosystems,Medical Diagnostics,United States
GlowDx,Medical Diagnostics,Ireland
Naked Biome,Genomics/Gene Therapy,United States
Phylagen,Genomics/Gene Therapy,United States
Kite Medical,Medical Diagnostics,Ireland
Neurent Medical,Medical Devices,Ireland
SQZ Biotechnologies,TeleMedicine,United States
"DermBiont, Inc.",Medical Diagnostics,United States
Alto Pharmacy,Medical Diagnostics,United States
PetaGene,Bioinformatics,United Kingdom
ONA Therapeutics,Healthcare Analytics,Spain
Peptomyc,Agri-Biotech,Spain
Bot M.D.,Digital Health,Singapore
Nimblr,Digital Health,United States
Psious,Digital Health,Spain
Healios,Healthcare Analytics,United Kingdom
Flow Neuroscience,Medical Devices,Sweden
Vyasa Analytics,Digital Health,United States
"Vivante Health
",Digital Health,United States
Virta Health,Digital Health,United States
Harbour Biomed,BioSystems,United States
Metabomed LTD,Digital Health,Israel
Biond Biologics Ltd,Digital Health,Israel
ORIG3N,Healthcare Analytics,United States
Magnolia Neurosciences,Digital Health,United States
Quentis Therapeutics,BioSystems,United States
Zentalis Pharmaceuticals,BioSystems,United States
Dracen Pharmaceuticals,BioSystems,United States
Neurovalens,Medical Devices,United Kingdom
Forkhead BioTherapeutics Inc,Healthcare Analytics,United States
ENB Therapeutics,Healthcare Analytics,United States
Kallyope Inc,Medical Imaging,United States
"Yesse Technologies, Inc.",Nanotechnology,United States
Nodexus,Healthcare Analytics,United States
Nanoly bioscience,Healthcare Analytics,United States
Innoblative Designs,Medical Devices,United States
Solarea Bio,Early Stage Biotech,United States
Imbria Pharmaceuticals,Medical Diagnostics,United States
Shattuck Labs,Medical Diagnostics,United States
Alfasigma,Healthcare Analytics,Italy
"Antheia, Inc.",Genomics/Gene Therapy,United States
Chimera Bioengineering,Medical Diagnostics,United States
Dianomi Therapeutics,Medical Diagnostics,United States
Avalon GloboCare,Healthcare Analytics,United States
OXOLIFE,Agri-Biotech,Spain
Molomics,Digital health,Spain
Genomcore,Genomics/Gene Therapy,Spain
"Analytics 4 Life, Inc.",Digital Health,United States
PDC*line Pharma,Rare disease,Belgium
Meru Health,Healthcare Analytics,United States
KinBio,BioSystems,Israel
EpiBone,Digital Health,United States
Axon Therapies,Early Stage Biotech,United States
uFraction8,Stem Cell,United Kingdom
Oblique Therapeutics,Healthcare Analytics,Sweden
miDiagnostics,Medical Devices,Belgium
Delve Therapeutics,BioSystems,United States
LabFellows,BioSystems,United States
TeselaGen,Healthcare Analytics,United States
Varigen Biosciences,Genomics/Gene Therapy,United States
Pattern BioSciences,Genomics/Gene Therapy,Switzerland
Biosimulytics,BioSystems,Ireland
Eolas Medical,Medical Diagnostics,United Kingdom
AuriGen Medical,Medical Devices,Ireland
Loci Orthopaedics,Medical Devices,Ireland
Felix Biotechnology,BioSystems,United States
MicroByre,Genomics/Gene Therapy,United States
"Stem Pharm, Inc",Bioinformatics,United States
Vascugen,Medical Diagnostics,United States
Viralgen Vector Core,Genomics/Gene Therapy,Spain
"ConsortiaTX, Inc.",BioSystems,United States
Genique Lifesciences,Medical Devices,India
ZeCardio Therapeutics,TeleMedicine,Spain
Made of Genes,Genomics/Gene Therapy,Spain
Rejuvenate Bio,Bioinformatics,United States
"FIMECS, Inc.",Rare disease,Japan
Ahum,Healthcare Analytics,Sweden
Juvenescence AI,BioSystems,United States
Captor Therapeutics Ltd,Healthcare Analytics,Poland
Gatehouse Bio,Genomics/Gene Therapy,United States
Lodo Therapeutics,Genomics/Gene Therapy,United States
Cell Machines,BioSystems,United States
Simple strips,Medical Devices,United States
Pendulum Therapeutics,BioSystems,United States
"Nimble Therapeutics, Inc",BioSystems,United States
Kaviva Life Sciences,Nutraceuticals,India
Denovo Biolabs,Medical Diagnostics,India
Promea Therapeutics,Medical Diagnostics,India
Yaathum Biotech,Agri-Biotech,India
Antipodean Pharmaceuticals Inc,Healthcare Analytics,United States
"Mannan Pharmaceuticals, LLC",Healthcare Analytics,United States
MD Biosciences GmbH,Medical Diagnostics,Switzerland
"Carolus Therapeutics, Inc",Bioinformatics,United States
NousCom,Healthcare Analytics,Switzerland
Bac3Gel,Digital Health,Italy
ProteinQure,Digital Health,Canada
Aifred Health,Digital Health,Canada
Zenith Epigenetics Corp.,Early Stage Biotech,United States
Entos Pharmaceuticals,Nanotechnology,Canada
Pacylex Pharmaceuticals,Healthcare Analytics,Canada
Innovative Targeting Solutions Inc.,Healthcare Analytics,Canada
Symvivo Corporation,Early Stage Biotech,Canada
AbCellera Biologics,Genomics/Gene Therapy,Canada
Aspect Biosystems Ltd.,Early Stage Biotech,Canada
Novelogics Biotechnology Inc.,Early Stage Biotech,Canada
Precision NanoSystems,Nanotechnology,Canada
AlphaCognition Inc,Healthcare Analytics,Canada
BHV Pharma (Avolynt),Healthcare Analytics,United States
Metavant Sciences,Healthcare Analytics,United States
NeuroBo Pharmaceuticals,Healthcare Analytics,United States
OcuNexus Therapeutics,Healthcare Analytics,United States
Celularity,Early Stage Biotech,United States
Soin Neuroscience,Early Stage Biotech,United States
Zebra Medical Vision,Healthcare Analytics,Israel
DiaMonTech AG,BioSystems,Germany
Jnana Therapeutics,Early Stage Biotech,United States
Mika,Digital Health,Germany
Mecuris GmbH,Digital Health,Germany
TeleClinic,TeleMedicine,Germany
Kaia Health,Digital Health,United States
Lucence Diagnostics,Medical Diagnostics,Singapore
Nashville Biosciences,Early stage Biotech,United States
EncrypGen,Genomics/Gene Therapy,United States
ACT Genomics,Bioinformatics,Taiwan
Arrakis Therapeutics,TeleMedicine,United States
Verily Life Sciences,Digital Health,United States
Signum Dermalogix Inc,BioSystems,United States
Nkarta Therapeutics,BioSystems,United States
CONTINUUS Pharmaceuticals,Digital Health,United States
Genesis Therapeutics,BioSystems,United States
Arvelle Therapeutics,Bioinformatics,Switzerland
Cynapsus Therapeutics,Healthcare Analytics,Canada
Energesis Pharmaceuticals,Healthcare Analytics,United States
Erimos Pharmaceuticals,BioSystems,United States
"Escend Pharmaceuticals, Inc",Digital Health,United States
"Escient Pharmaceuticals, Inc.",BioSystems,United States
Drawbridge Pharmaceuticals,BioSystems,Australia
DS Biopharma,BioSystems,Ireland
Dynamix Pharmaceuticals,Healthcare Analytics,Israel
Cour Pharmaceuticals,Medical Diagnostics,United States
Thetis Pharmaceuticals,BioSystems,United States
Telomere Diagnostics,Bioinformatics,United States
"Sandstone Diagnostics, Inc.",Medical Devices,United States
Viracta Therapeutics,Bioinformatics,United States
Vitruvias Therapeutics,Medical Diagnostics,United States
"Vivace Therapeutics, Inc",BioSystems,United States
Vista Therapeutics,Medical Diagnostics,United States
"Serina Therapeutics, Inc.",Healthcare Analytics,United States
"Tizona Therapeutics, Inc.",BioSystems,United States
Acuamark Diagnostics,BioSystems,United States
Curtana Pharmaceuticals,Bioinformatics,United States
Cycle Pharmaceuticals,Medical Diagnostics,United Kingdom
Dauntless Pharmaceuticals,Bioinformatics,United States
Denovo Biopharma,Medical Diagnostics,United States
Diazon Pharma,Healthcare Analytics,Canada
Drais Pharmaceuticals,Medical Diagnostics,United States
PrediTox,BioSystems,France
Flash Therapeutics,Genomics/Gene Therapy,France
"MedAnswers, Inc",Healthcare Analytics,United States
Avail Bio,Rare disease,United States
TruGenomix,Healthcare Analytics,United States
Spring Health,Digital Health,United States
Imagen Technologies,Healthcare Analytics,United States
Miacom Diagnostics GmbH,Medical Diagnostics,Germany
MedDay Pharmaceuticals,BioSystems,France
Melior Pharmaceuticals,BioSystems,United States
Babylon Health,Digital Health,United Kingdom
Flatiron Health,Healthcare Analytics,United States
Tempus Labs,Healthcare Analytics,United States
PathAI,Healthcare Analytics,United States
Synyi,Healthcare Analytics,China
GNS Healthcare,Healthcare Analytics,United States
Ada Health,Healthcare Analytics,Germany
Healx,Rare Disease,United Kingdom
Shuttle Pharmaceuticals,BioSystems,United States
Sitka Biopharma,Digital Health,Canada
SK Bio-Pharmaceuticals,Healthcare Analytics,"Korea, Republic of"
SLA Pharma AG,BioSystems,United Kingdom
Slayback Pharma,Digital Health,United States
Solasia Pharma K.K.,Healthcare Analytics,Japan
"Soricimed Biopharma, Inc.",Medical Diagnostics,Canada
Sound Pharmaceuticals,Healthcare Analytics,United States
Step Pharma,BioSystems,France
SpecificiT Pharma,Digital Health,Canada
Targa Biomedical,Stem Cell,Canada
Prealize Health,Healthcare Analytics,United States
Aro Biotherapeutics,BioSystems,United States
Cullinan Oncology,Medical Devices,United States
Samsara Therapeutics,BioSystems,Germany
Turn Biotechnologies,BioSystems,United States
Oisin Biotechnologies,BioSystems,United States
Immutics Inc,BioSystems,United States
Alkahest Inc,Digital Health,United States
Theolytics Ltd,BioSystems,United Kingdom
PepGen Ltd,BioSystems,United Kingdom
Vaccitech Limited,Digital Health,United Kingdom
E Scientia Laboratory Essentials,BioSystems,India
NextGen Life Sciences Pvt. Ltd.,Bioinformatics,India
3i Molecular Solutions and healthcare solutions,Medical Devices,India
Ytiliga,TeleMedicine,India
Akognos Life Sciences,TeleMedicine,India
Geneva Biotech Center (GBC) SA,TeleMedicine,Switzerland
3X4 Genetics,Genomics/Gene Therapy,United States
Quench Bio,TeleMedicine,United States
Panorama Medicine,TeleMedicine,United States
"Fusion Pharmaceuticals, Inc",Healthcare Analytics,Canada
GamaMabs Pharma SA,Healthcare Analytics,France
Genoscience Pharma,Stem Cell,France
Genzada Pharmaceuticals,Healthcare Analytics,United States
GLG Pharma,Healthcare Analytics,United States
Hillhurst Biopharmaceuticals,Healthcare Analytics,United States
Horus Pharma,Healthcare Analytics,France
"i2 Pharmaceuticals, Inc.",Healthcare Analytics,United States
Iceni Pharmaceuticals Ltd ,Healthcare Analytics,United Kingdom
"Immix Biopharma, Inc",Healthcare Analytics,United States
Pharmaleads,Healthcare Analytics,France
Pherecydes Pharma,Healthcare Analytics,France
Phrixus Pharmaceuticals,Healthcare Analytics,United States
PMV Pharmaceuticals,Healthcare Analytics,United States
Prolong Pharmaceuticals,Healthcare Analytics,United States
Promore Pharma,Medical Diagnostics,Sweden
"Promentis Pharmaceuticals, Inc.",Medical Diagnostics,United States
Protego Biopharma,Genomics/Gene Therapy,United States
Provenance Biopharmaceuticals Corp.,Biosystems,United States
Provid Pharmaceuticals Inc.,Medical Diagnostics,United States
APIM Therapeutics AS ,Biosystems,Norway
"BioAxone BioSciences, Inc.",Biosystems,United States
Blueberry Therapeutics,Biosystems,United Kingdom
